timestep,chunk,coord,ncount,temperature
2400000,30,0.7375,47.881,295.295
2400000,31,0.7625,63.502,295.055
2400000,32,0.7875,47.7805,293.279
2400000,33,0.8125,48.5475,287.831
2400000,34,0.8375,62.896,288.402
2400000,35,0.8625,47.7275,287.857
2400000,36,0.8875,49.3595,283.264
2400000,37,0.9125,62.431,280.16
2400000,38,0.9375,45.0765,280.383
2400000,39,0.9625,20.4925,278.494
2400000,40,0.9875,0.0,
