Wurtzite ZnO (type1=Zn q=+2, type2=O q=-2)

2880 atoms
2 atom types

0.0 12.998000 xlo xhi
0.0 16.884897 ylo yhi
0.0 156.207000 zlo zhi

Masses

1 65.38
2 15.9994

Atoms # charge

256 2 -2.0000 0.000000 9.380498 9.799386
257 1 2.0000 0.000000 5.628299 10.413800
258 1 2.0000 1.624750 8.442449 10.413800
259 1 2.0000 1.624750 6.566349 13.017250
260 1 2.0000 0.000000 9.380498 13.017250
261 2 -2.0000 0.000000 5.628299 12.402836
262 2 -2.0000 1.624750 8.442449 12.402836
263 2 -2.0000 1.624750 6.566349 15.006286
264 2 -2.0000 0.000000 9.380498 15.006286
265 1 2.0000 0.000000 5.628299 15.620700
266 1 2.0000 1.624750 8.442449 15.620700
267 1 2.0000 1.624750 6.566349 18.224150
268 1 2.0000 0.000000 9.380498 18.224150
269 2 -2.0000 0.000000 5.628299 17.609736
270 2 -2.0000 1.624750 8.442449 17.609736
271 2 -2.0000 1.624750 6.566349 20.213186
272 2 -2.0000 0.000000 9.380498 20.213186
273 1 2.0000 0.000000 5.628299 20.827600
274 1 2.0000 1.624750 8.442449 20.827600
275 1 2.0000 1.624750 6.566349 23.431050
276 1 2.0000 0.000000 9.380498 23.431050
277 2 -2.0000 0.000000 5.628299 22.816636
278 2 -2.0000 1.624750 8.442449 22.816636
279 2 -2.0000 1.624750 6.566349 25.420086
280 2 -2.0000 0.000000 9.380498 25.420086
281 1 2.0000 0.000000 5.628299 26.034500
282 1 2.0000 1.624750 8.442449 26.034500
283 1 2.0000 1.624750 6.566349 28.637950
284 1 2.0000 0.000000 9.380498 28.637950
285 2 -2.0000 0.000000 5.628299 28.023536
286 2 -2.0000 1.624750 8.442449 28.023536
287 2 -2.0000 1.624750 6.566349 30.626986
288 2 -2.0000 0.000000 9.380498 30.626986
289 1 2.0000 0.000000 5.628299 31.241400
290 1 2.0000 1.624750 8.442449 31.241400
291 1 2.0000 1.624750 6.566349 33.844850
292 1 2.0000 0.000000 9.380498 33.844850
293 2 -2.0000 0.000000 5.628299 33.230436
294 2 -2.0000 1.624750 8.442449 33.230436
295 2 -2.0000 1.624750 6.566349 35.833886
296 2 -2.0000 0.000000 9.380498 35.833886
297 1 2.0000 0.000000 5.628299 36.448300
298 1 2.0000 1.624750 8.442449 36.448300
299 1 2.0000 1.624750 6.566349 39.051750
300 1 2.0000 0.000000 9.380498 39.051750
301 2 -2.0000 0.000000 5.628299 38.437336
302 2 -2.0000 1.624750 8.442449 38.437336
303 2 -2.0000 1.624750 6.566349 41.040786
304 2 -2.0000 0.000000 9.380498 41.040786
305 1 2.0000 0.000000 5.628299 41.655200
306 1 2.0000 1.624750 8.442449 41.655200
307 1 2.0000 1.624750 6.566349 44.258650
308 1 2.0000 0.000000 9.380498 44.258650
309 2 -2.0000 0.000000 5.628299 43.644236
310 2 -2.0000 1.624750 8.442449 43.644236
311 2 -2.0000 1.624750 6.566349 46.247686
312 2 -2.0000 0.000000 9.380498 46.247686
313 1 2.0000 0.000000 5.628299 46.862100
314 1 2.0000 1.624750 8.442449 46.862100
315 1 2.0000 1.624750 6.566349 49.465550
316 1 2.0000 0.000000 9.380498 49.465550
317 2 -2.0000 0.000000 5.628299 48.851136
318 2 -2.0000 1.624750 8.442449 48.851136
319 2 -2.0000 1.624750 6.566349 51.454586
320 2 -2.0000 0.000000 9.380498 51.454586
321 1 2.0000 0.000000 5.628299 52.069000
322 1 2.0000 1.624750 8.442449 52.069000
323 1 2.0000 1.624750 6.566349 54.672450
324 1 2.0000 0.000000 9.380498 54.672450
325 2 -2.0000 0.000000 5.628299 54.058036
326 2 -2.0000 1.624750 8.442449 54.058036
327 2 -2.0000 1.624750 6.566349 56.661486
328 2 -2.0000 0.000000 9.380498 56.661486
329 1 2.0000 0.000000 5.628299 57.275900
330 1 2.0000 1.624750 8.442449 57.275900
331 1 2.0000 1.624750 6.566349 59.879350
332 1 2.0000 0.000000 9.380498 59.879350
333 2 -2.0000 0.000000 5.628299 59.264936
334 2 -2.0000 1.624750 8.442449 59.264936
335 2 -2.0000 1.624750 6.566349 61.868386
336 2 -2.0000 0.000000 9.380498 61.868386
337 1 2.0000 0.000000 5.628299 62.482800
338 1 2.0000 1.624750 8.442449 62.482800
339 1 2.0000 1.624750 6.566349 65.086250
340 1 2.0000 0.000000 9.380498 65.086250
341 2 -2.0000 0.000000 5.628299 64.471836
342 2 -2.0000 1.624750 8.442449 64.471836
343 2 -2.0000 1.624750 6.566349 67.075286
344 2 -2.0000 0.000000 9.380498 67.075286
345 1 2.0000 0.000000 5.628299 67.689700
346 1 2.0000 1.624750 8.442449 67.689700
347 1 2.0000 1.624750 6.566349 70.293150
348 1 2.0000 0.000000 9.380498 70.293150
349 2 -2.0000 0.000000 5.628299 69.678736
350 2 -2.0000 1.624750 8.442449 69.678736
351 2 -2.0000 1.624750 6.566349 72.282186
352 2 -2.0000 0.000000 9.380498 72.282186
353 1 2.0000 0.000000 5.628299 72.896600
354 1 2.0000 1.624750 8.442449 72.896600
355 1 2.0000 1.624750 6.566349 75.500050
356 1 2.0000 0.000000 9.380498 75.500050
357 2 -2.0000 0.000000 5.628299 74.885636
358 2 -2.0000 1.624750 8.442449 74.885636
359 2 -2.0000 1.624750 6.566349 77.489086
360 2 -2.0000 0.000000 9.380498 77.489086
361 1 2.0000 0.000000 5.628299 78.103500
362 1 2.0000 1.624750 8.442449 78.103500
363 1 2.0000 1.624750 6.566349 80.706950
364 1 2.0000 0.000000 9.380498 80.706950
365 2 -2.0000 0.000000 5.628299 80.092536
366 2 -2.0000 1.624750 8.442449 80.092536
367 2 -2.0000 1.624750 6.566349 82.695986
368 2 -2.0000 0.000000 9.380498 82.695986
369 1 2.0000 0.000000 5.628299 83.310400
370 1 2.0000 1.624750 8.442449 83.310400
371 1 2.0000 1.624750 6.566349 85.913850
372 1 2.0000 0.000000 9.380498 85.913850
373 2 -2.0000 0.000000 5.628299 85.299436
374 2 -2.0000 1.624750 8.442449 85.299436
375 2 -2.0000 1.624750 6.566349 87.902886
376 2 -2.0000 0.000000 9.380498 87.902886
377 1 2.0000 0.000000 5.628299 88.517300
378 1 2.0000 1.624750 8.442449 88.517300
379 1 2.0000 1.624750 6.566349 91.120750
380 1 2.0000 0.000000 9.380498 91.120750
381 2 -2.0000 0.000000 5.628299 90.506336
382 2 -2.0000 1.624750 8.442449 90.506336
383 2 -2.0000 1.624750 6.566349 93.109786
384 2 -2.0000 0.000000 9.380498 93.109786
385 1 2.0000 0.000000 5.628299 93.724200
386 1 2.0000 1.624750 8.442449 93.724200
387 1 2.0000 1.624750 6.566349 96.327650
388 1 2.0000 0.000000 9.380498 96.327650
389 2 -2.0000 0.000000 5.628299 95.713236
390 2 -2.0000 1.624750 8.442449 95.713236
391 2 -2.0000 1.624750 6.566349 98.316686
392 2 -2.0000 0.000000 9.380498 98.316686
393 1 2.0000 0.000000 5.628299 98.931100
394 1 2.0000 1.624750 8.442449 98.931100
395 1 2.0000 1.624750 6.566349 101.534550
396 1 2.0000 0.000000 9.380498 101.534550
397 2 -2.0000 0.000000 5.628299 100.920136
398 2 -2.0000 1.624750 8.442449 100.920136
399 2 -2.0000 1.624750 6.566349 103.523586
400 2 -2.0000 0.000000 9.380498 103.523586
401 1 2.0000 0.000000 5.628299 104.138000
402 1 2.0000 1.624750 8.442449 104.138000
403 1 2.0000 1.624750 6.566349 106.741450
404 1 2.0000 0.000000 9.380498 106.741450
405 2 -2.0000 0.000000 5.628299 106.127036
406 2 -2.0000 1.624750 8.442449 106.127036
407 2 -2.0000 1.624750 6.566349 108.730486
408 2 -2.0000 0.000000 9.380498 108.730486
409 1 2.0000 0.000000 5.628299 109.344900
410 1 2.0000 1.624750 8.442449 109.344900
411 1 2.0000 1.624750 6.566349 111.948350
412 1 2.0000 0.000000 9.380498 111.948350
413 2 -2.0000 0.000000 5.628299 111.333936
414 2 -2.0000 1.624750 8.442449 111.333936
415 2 -2.0000 1.624750 6.566349 113.937386
416 2 -2.0000 0.000000 9.380498 113.937386
417 1 2.0000 0.000000 5.628299 114.551800
418 1 2.0000 1.624750 8.442449 114.551800
419 1 2.0000 1.624750 6.566349 117.155250
420 1 2.0000 0.000000 9.380498 117.155250
421 2 -2.0000 0.000000 5.628299 116.540836
422 2 -2.0000 1.624750 8.442449 116.540836
