# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4063.9999999999995
  26 0.6375 110.522 295.911
  27 0.6625 110.967 297.801
  28 0.6875 97.8435 298.53
  29 0.7125 105.978 294.769
  30 0.7375 110.48 292.797
  31 0.7625 103.519 292.307
  32 0.7875 99.096 291.068
  33 0.8125 110.736 290.757
  34 0.8375 110.154 289.834
  35 0.8625 96.182 288.458
  36 0.8875 111.559 287.2
  37 0.9125 111.687 287.972
  38 0.9375 96.586 283.741
  39 0.9625 107.684 280.508
  40 0.9875 20.316 279.546
3200000 40 4064
  1 0.0125 32 319.322
  2 0.0375 98.6505 321.966
  3 0.0625 110.9 313.737
  4 0.0875 110.396 307.941
  5 0.1125 96.2395 307.206
  6 0.1375 111.025 308.391
  7 0.1625 111.053 309.513
  8 0.1875 97.7375 309.2
  9 0.2125 105.306 307.666
  10 0.2375 110.463 305.136
  11 0.2625 104.228 304.412
  12 0.2875 98.9805 299.986
  13 0.3125 111.106 302.226
  14 0.3375 109.801 301.315
  15 0.3625 96.482 302.616
  16 0.3875 110.409 301.004
  17 0.4125 110.981 299.843
  18 0.4375 98.248 301.912
  19 0.4625 105.42 300.058
  20 0.4875 110.718 299.092
  21 0.5125 103.857 300.104
  22 0.5375 99.3605 300.126
  23 0.5625 110.725 301.08
  24 0.5875 109.659 300.839
  25 0.6125 96.6155 300.048
  26 0.6375 110.465 299.04
  27 0.6625 111.243 296.555
  28 0.6875 97.937 296.994
  29 0.7125 105.713 296.536
  30 0.7375 110.609 295.283
  31 0.7625 103.671 291.896
  32 0.7875 99.389 293.589
  33 0.8125 110.609 293.144
  34 0.8375 109.931 293.55
  35 0.8625 96.2555 290.32
  36 0.8875 111.202 287.085
  37 0.9125 111.544 287.936
  38 0.9375 97.0705 285.865
  39 0.9625 106.132 279.661
  40 0.9875 21.8685 281.367
3600000 40 4064
  1 0.0125 32 318.721
  2 0.0375 97.79 318.631
  3 0.0625 111.579 315.997
  4 0.0875 110.555 311.294
  5 0.1125 96.2375 311.674
  6 0.1375 110.73 311.967
  7 0.1625 110.858 311.763
  8 0.1875 98.2525 309.137
  9 0.2125 105.243 307.652
  10 0.2375 110.376 304.743
  11 0.2625 104.376 305.223
  12 0.2875 98.819 301.803
  13 0.3125 110.984 301.9
  14 0.3375 109.795 301.463
  15 0.3625 96.804 301.435
  16 0.3875 109.829 298.656
  17 0.4125 111.028 298.491
  18 0.4375 98.801 298.669
  19 0.4625 105.303 298.847
  20 0.4875 110.512 296.821
  21 0.5125 104.124 296.481
  22 0.5375 99.741 296.217
  23 0.5625 111.049 297.56
  24 0.5875 109.03 294.423
  25 0.6125 96.8165 293.061
  26 0.6375 110.282 295.331
  27 0.6625 110.856 298.184
  28 0.6875 98.251 294.126
  29 0.7125 105.712 294.034
  30 0.7375 110.46 293.169
  31 0.7625 103.807 291.181
  32 0.7875 99.347 289.381
  33 0.8125 110.713 293.005
  34 0.8375 109.841 292.386
  35 0.8625 96.345 288.956
  36 0.8875 110.903 288.967
  37 0.9125 111.501 289.302
  38 0.9375 97.351 284.98
  39 0.9625 106.12 280.012
  40 0.9875 21.88 279.827
4000000 40 4064
  1 0.0125 32 318.897
  2 0.0375 98.0385 319.693
  3 0.0625 111.42 314.988
  4 0.0875 110.481 307.685
  5 0.1125 96.4095 308.425
  6 0.1375 110.78 307.896
  7 0.1625 110.778 304.321
  8 0.1875 98.1135 305.859
  9 0.2125 105.007 304.897
  10 0.2375 110.725 306.303
  11 0.2625 104.242 306.284
  12 0.2875 99.56 303.486
  13 0.3125 110.915 303.876
  14 0.3375 109.109 305.863
  15 0.3625 96.9235 302.974
  16 0.3875 109.841 304.156
  17 0.4125 111.165 301.537
  18 0.4375 98.5045 302.052
  19 0.4625 105.913 299.667
  20 0.4875 110.99 299.651
  21 0.5125 103.075 298.985
  22 0.5375 100.714 299.28
  23 0.5625 110.71 296.67
  24 0.5875 108.212 293.811
  25 0.6125 97.1925 290.768
  26 0.6375 110.074 291.772
  27 0.6625 110.873 292.511
  28 0.6875 98.2585 295.804
  29 0.7125 106.805 293.086
  30 0.7375 110.773 293.478
  31 0.7625 102.398 290.026
  32 0.7875 100.186 288.691
  33 0.8125 110.635 289.985
  34 0.8375 109.001 290.433
  35 0.8625 96.5325 289.076
  36 0.8875 111.177 285.734
  37 0.9125 111.808 286.812
  38 0.9375 96.663 282.738
  39 0.9625 108.472 279.245
  40 0.9875 19.527 279.897
