# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 3096
  18 0.4375 95.9305 301.784
  19 0.4625 72.0215 301.655
  20 0.4875 83.5785 299.38
  21 0.5125 84.4215 299.805
  22 0.5375 72.015 298.253
  23 0.5625 95.939 298.059
  24 0.5875 72.046 293.995
  25 0.6125 82.4515 295.007
  26 0.6375 85.5485 294.071
  27 0.6625 72.031 295.298
  28 0.6875 95.8495 296.669
  29 0.7125 72.1195 296.058
  30 0.7375 83.4195 294.757
  31 0.7625 84.5805 293.927
  32 0.7875 72.066 293.167
  33 0.8125 95.8755 291.719
  34 0.8375 72.0585 292.02
  35 0.8625 84.773 292.714
  36 0.8875 83.227 290.799
  37 0.9125 72.0035 289.83
  38 0.9375 95.996 282.457
  39 0.9625 72.0005 280.79
  40 0.9875 0 0
