# Chunk-averaged data for fix fp and group mobile
# Timestep Number-of-chunks Total-count
# Chunk Coord1 Ncount v_tatom
400000 40 4560
  28 0.6875 133.2 299.56
  29 0.7125 106.775 297.94
  30 0.7375 133.151 295.784
  31 0.7625 106.909 296.232
  32 0.7875 133.286 294.31
  33 0.8125 106.65 294.004
  34 0.8375 133.924 293
  35 0.8625 106.031 291.842
  36 0.8875 132.925 290.253
  37 0.9125 106.876 288.2
  38 0.9375 136.262 280.192
  39 0.9625 103.694 280.378
  40 0.9875 0 0
3200000 40 4560.000000000002
  1 0.0125 0 0
  2 0.0375 134.488 319.064
  3 0.0625 105.85 319.422
  4 0.0875 131.817 312.799
  5 0.1125 108.142 311.556
  6 0.1375 132.412 309.224
  7 0.1625 107.929 308.459
  8 0.1875 132 306.643
  9 0.2125 108.156 307.283
  10 0.2375 131.608 308.528
  11 0.2625 108.42 307.903
  12 0.2875 131.738 306.666
  13 0.3125 108.633 307.805
  14 0.3375 131.034 308.045
  15 0.3625 108.749 305.288
  16 0.3875 131.746 302.334
  17 0.4125 108.624 302.047
  18 0.4375 130.688 302.807
  19 0.4625 109.23 302.908
  20 0.4875 131.751 302.787
  21 0.5125 108.186 302.33
  22 0.5375 130.744 302.792
  23 0.5625 109.294 301.708
  24 0.5875 131.934 299.279
  25 0.6125 107.88 297.223
  26 0.6375 131.244 298.124
  27 0.6625 108.538 299.698
  28 0.6875 132.268 296.714
  29 0.7125 107.707 294.466
  30 0.7375 132.494 293.333
  31 0.7625 107.299 294.014
  32 0.7875 132.905 293.397
  33 0.8125 106.874 295.688
  34 0.8375 133.637 293.743
  35 0.8625 106.29 292.498
  36 0.8875 133.127 293.842
  37 0.9125 106.675 289.423
  38 0.9375 135.208 281.009
  39 0.9625 104.679 279.964
  40 0.9875 0 0
3600000 40 4560.000000000001
  1 0.0125 0 0
  2 0.0375 132.181 318.81
  3 0.0625 107.884 319.415
  4 0.0875 132.943 313.884
  5 0.1125 107.177 313.752
  6 0.1375 132.127 311.048
  7 0.1625 108.056 311.618
  8 0.1875 132.326 310.134
  9 0.2125 107.71 308.557
  10 0.2375 132.082 310.037
  11 0.2625 108.145 308.611
  12 0.2875 131.638 308.346
  13 0.3125 108.562 305.623
  14 0.3375 131.315 304.865
  15 0.3625 108.885 304.355
  16 0.3875 131.548 304.81
  17 0.4125 108.351 303.42
  18 0.4375 131.583 302.866
  19 0.4625 108.498 303.503
  20 0.4875 131.804 302.432
  21 0.5125 108.004 303.138
  22 0.5375 131.963 303.063
  23 0.5625 108.035 302.608
  24 0.5875 132.007 298.592
  25 0.6125 108.001 300.563
  26 0.6375 132.275 300.967
  27 0.6625 107.51 299.585
  28 0.6875 132.445 299.258
  29 0.7125 107.535 296.742
  30 0.7375 132.568 297.912
  31 0.7625 107.169 295.521
  32 0.7875 133.224 294.703
  33 0.8125 106.776 291.8
  34 0.8375 133.149 291.568
  35 0.8625 106.734 291.216
  36 0.8875 132.978 292.247
  37 0.9125 106.883 290.717
  38 0.9375 135.596 280.82
  39 0.9625 104.327 279.697
  40 0.9875 0 0
4000000 40 4559.999999999999
  1 0.0125 0 0
  2 0.0375 132.609 319.733
  3 0.0625 107.484 319.172
  4 0.0875 132.662 312.122
  5 0.1125 107.485 308.185
  6 0.1375 132.798 311.23
  7 0.1625 107.215 310.221
  8 0.1875 132.615 307.209
  9 0.2125 107.47 304.716
  10 0.2375 132.413 304.121
  11 0.2625 107.802 306.372
  12 0.2875 132.341 304.18
  13 0.3125 107.589 303.747
  14 0.3375 131.813 304.413
  15 0.3625 108.35 306.375
  16 0.3875 132.631 304.646
  17 0.4125 107.302 303.192
  18 0.4375 131.822 303.141
  19 0.4625 108.219 300.63
  20 0.4875 132.653 301.65
  21 0.5125 107.424 303.456
  22 0.5375 131.915 301.241
  23 0.5625 107.927 301.646
  24 0.5875 133.055 299.806
  25 0.6125 107.112 300.639
  26 0.6375 132.378 299.778
  27 0.6625 107.334 297.921
  28 0.6875 133.143 296.765
  29 0.7125 106.987 297.04
  30 0.7375 133.014 295.535
  31 0.7625 106.764 295.289
  32 0.7875 132.996 295.228
  33 0.8125 106.963 295.087
  34 0.8375 133.828 292.875
  35 0.8625 106.077 292.749
  36 0.8875 132.351 291.289
  37 0.9125 107.508 288.682
  38 0.9375 136.058 281.139
  39 0.9625 103.892 280.211
  40 0.9875 0 0
